model_name,selected_threshold,default_accuracy,default_precision,default_recall,default_f1,default_roc_auc,default_false_negative,default_false_positive,selected_accuracy,selected_precision,selected_recall,selected_f1,selected_roc_auc,selected_false_negative,selected_false_positive
logistic_regression,0.3,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,27,18,0.7402597402597403,0.5972222222222222,0.7962962962962963,0.6825396825396826,0.812962962962963,11,29
random_forest,0.3,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.8077777777777777,25,15,0.7077922077922078,0.5569620253164557,0.8148148148148148,0.6616541353383458,0.8077777777777777,10,35
xgboost,0.3,0.7597402597402597,0.6545454545454545,0.6666666666666666,0.6605504587155964,0.83,18,19,0.7727272727272727,0.6338028169014085,0.8333333333333334,0.72,0.83,9,26
